20120930 14:50 LOGIN_SUCCESS user connected to chat with login gibbs
20120930 14:52 LOGIN_SUCCESS user connected to chat with login dinozzo
20120930 14:53 LOGIN_FAIL    unknown user todd
20120930 15:14 MESSAGE_SENT  from david to david
20120930 15:14 MESSAGE_SENT  from sciuto to mcgee
20120930 15:14 MESSAGE_SENT  from david to palmer
20120930 15:14 MESSAGE_SENT  from mcgee to mcgee
20120930 15:14 MESSAGE_SENT  from gibbs to sciuto
20120930 15:14 MESSAGE_SENT  from palmer to david
20120930 15:14 MESSAGE_SENT  from sciuto to sciuto
20120930 15:14 MESSAGE_SENT  from palmer to gibbs
20120930 15:14 MESSAGE_SENT  from vance to david
20120930 15:14 MESSAGE_SENT  from vance to sciuto
20120930 15:15 MESSAGE_SENT  from palmer to dinozzo
20120930 15:15 MESSAGE_SENT  from david to palmer
20120930 15:15 MESSAGE_SENT  from dinozzo to sciuto
20120930 15:15 MESSAGE_SENT  from gibbs to palmer
20120930 15:15 MESSAGE_SENT  from gibbs to david
20120930 15:15 MESSAGE_SENT  from sciuto to sciuto
20120930 15:16 MESSAGE_SENT  from vance to david
20120930 15:16 MESSAGE_SENT  from mcgee to palmer
20120930 15:16 MESSAGE_SENT  from dinozzo to mcgee
20120930 15:16 MESSAGE_SENT  from vance to gibbs
20120930 15:16 MESSAGE_SENT  from david to sciuto
20120930 15:16 MESSAGE_SENT  from palmer to david
20120930 15:17 MESSAGE_SENT  from david to gibbs
20120930 15:17 MESSAGE_SENT  from david to mcgee
20120930 15:17 MESSAGE_SENT  from palmer to david
20120930 15:17 MESSAGE_SENT  from palmer to mcgee
20120930 15:17 MESSAGE_SENT  from sciuto to david
20120930 15:17 MESSAGE_SENT  from vance to mcgee
20120930 15:17 MESSAGE_SENT  from dinozzo to david
20120930 15:18 MESSAGE_SENT  from sciuto to vance
20120930 15:18 MESSAGE_SENT  from sciuto to dinozzo
20120930 15:18 MESSAGE_SENT  from vance to david
20120930 15:18 MESSAGE_SENT  from sciuto to sciuto
20120930 15:19 MESSAGE_SENT  from palmer to sciuto
20120930 15:19 MESSAGE_SENT  from sciuto to david
20120930 15:20 MESSAGE_SENT  from vance to palmer
20120930 15:20 MESSAGE_SENT  from sciuto to vance
20120930 15:21 MESSAGE_SENT  from vance to palmer
20120930 15:21 MESSAGE_SENT  from dinozzo to gibbs
20120930 15:22 MESSAGE_SENT  from david to david
20120930 15:22 MESSAGE_SENT  from dinozzo to gibbs
20120930 15:22 MESSAGE_SENT  from david to sciuto
20120930 15:22 MESSAGE_SENT  from vance to mcgee
20120930 15:22 MESSAGE_SENT  from gibbs to david
20120930 15:22 MESSAGE_SENT  from mcgee to gibbs
20120930 15:23 MESSAGE_SENT  from sciuto to mcgee
20120930 15:23 MESSAGE_SENT  from gibbs to vance
20120930 15:23 MESSAGE_SENT  from dinozzo to dinozzo
20120930 15:23 MESSAGE_SENT  from david to mcgee
20120930 15:23 MESSAGE_SENT  from dinozzo to gibbs
20120930 15:23 MESSAGE_SENT  from palmer to gibbs
20120930 15:23 MESSAGE_SENT  from vance to dinozzo
20120930 15:23 MESSAGE_SENT  from vance to dinozzo
20120930 15:23 MESSAGE_SENT  from dinozzo to vance
20120930 15:23 MESSAGE_SENT  from david to gibbs
20120930 15:23 MESSAGE_SENT  from dinozzo to palmer
20120930 15:23 MESSAGE_SENT  from dinozzo to palmer
20120930 15:23 MESSAGE_SENT  from sciuto to palmer
20120930 15:23 MESSAGE_SENT  from sciuto to gibbs
20120930 15:23 MESSAGE_SENT  from gibbs to mcgee
20120930 15:23 MESSAGE_SENT  from vance to vance
20120930 15:24 MESSAGE_SENT  from vance to sciuto
20120930 15:24 MESSAGE_SENT  from david to gibbs
20120930 15:24 MESSAGE_SENT  from mcgee to gibbs
20120930 15:25 MESSAGE_SENT  from dinozzo to sciuto
20120930 15:25 MESSAGE_SENT  from sciuto to palmer
20120930 15:25 MESSAGE_SENT  from vance to vance
20120930 15:25 MESSAGE_SENT  from gibbs to sciuto
20120930 15:25 MESSAGE_SENT  from dinozzo to palmer
20120930 15:25 MESSAGE_SENT  from vance to sciuto
20120930 15:25 MESSAGE_SENT  from gibbs to vance
20120930 15:25 MESSAGE_SENT  from david to dinozzo
20120930 15:26 MESSAGE_SENT  from vance to dinozzo
20120930 15:26 MESSAGE_SENT  from dinozzo to gibbs
20120930 15:26 MESSAGE_SENT  from mcgee to sciuto
20120930 15:26 MESSAGE_SENT  from sciuto to sciuto
20120930 15:26 MESSAGE_SENT  from palmer to sciuto
20120930 15:27 MESSAGE_SENT  from sciuto to dinozzo
20120930 15:27 MESSAGE_SENT  from sciuto to mcgee
20120930 15:28 MESSAGE_SENT  from palmer to vance
20120930 15:28 MESSAGE_SENT  from palmer to mcgee
20120930 15:28 MESSAGE_SENT  from mcgee to gibbs
20120930 15:28 MESSAGE_SENT  from sciuto to david
20120930 15:29 MESSAGE_SENT  from mcgee to david
20120930 15:29 MESSAGE_SENT  from vance to david
20120930 15:29 MESSAGE_SENT  from mcgee to mcgee
20120930 15:29 MESSAGE_SENT  from david to gibbs
20120930 15:29 MESSAGE_SENT  from dinozzo to dinozzo
20120930 15:29 MESSAGE_SENT  from dinozzo to david
20120930 15:30 MESSAGE_SENT  from gibbs to mcgee
20120930 15:30 MESSAGE_SENT  from vance to palmer
20120930 15:31 MESSAGE_SENT  from gibbs to mcgee
20120930 15:31 MESSAGE_SENT  from david to david
20120930 15:32 MESSAGE_SENT  from dinozzo to mcgee
20120930 15:32 MESSAGE_SENT  from mcgee to gibbs
20120930 15:32 MESSAGE_SENT  from david to vance
20120930 15:33 MESSAGE_SENT  from gibbs to dinozzo
20120930 15:33 MESSAGE_SENT  from vance to gibbs
20120930 15:33 MESSAGE_SENT  from palmer to sciuto
20120930 15:33 MESSAGE_SENT  from gibbs to mcgee
20120930 15:33 MESSAGE_SENT  from vance to david
20120930 15:33 MESSAGE_SENT  from david to david
20120930 15:33 MESSAGE_SENT  from palmer to david
20120930 15:33 MESSAGE_SENT  from sciuto to vance
20120930 15:33 MESSAGE_SENT  from mcgee to gibbs
20120930 15:33 MESSAGE_SENT  from vance to sciuto
20120930 15:34 MESSAGE_SENT  from palmer to sciuto
20120930 15:34 MESSAGE_SENT  from gibbs to gibbs
20120930 15:34 MESSAGE_SENT  from mcgee to mcgee
20120930 15:34 MESSAGE_SENT  from david to dinozzo
20120930 15:34 MESSAGE_SENT  from dinozzo to gibbs
20120930 15:34 MESSAGE_SENT  from sciuto to dinozzo
20120930 15:35 MESSAGE_SENT  from sciuto to dinozzo
20120930 15:35 MESSAGE_SENT  from david to sciuto
20120930 15:35 MESSAGE_SENT  from palmer to gibbs
20120930 15:35 MESSAGE_SENT  from palmer to david
20120930 15:36 MESSAGE_SENT  from dinozzo to palmer
20120930 15:37 MESSAGE_SENT  from mcgee to mcgee
20120930 15:37 MESSAGE_SENT  from mcgee to gibbs
20120930 15:37 MESSAGE_SENT  from dinozzo to palmer
20120930 15:37 MESSAGE_SENT  from dinozzo to vance
20120930 15:37 MESSAGE_SENT  from sciuto to gibbs
20120930 15:37 MESSAGE_SENT  from gibbs to gibbs
20120930 15:37 MESSAGE_SENT  from david to mcgee
20120930 15:37 MESSAGE_SENT  from david to david
20120930 15:37 MESSAGE_SENT  from palmer to dinozzo
20120930 15:37 MESSAGE_SENT  from sciuto to vance
20120930 15:37 MESSAGE_SENT  from gibbs to gibbs
20120930 15:38 MESSAGE_SENT  from sciuto to palmer
20120930 15:38 MESSAGE_SENT  from palmer to david
20120930 15:38 MESSAGE_SENT  from sciuto to dinozzo
20120930 15:38 MESSAGE_SENT  from vance to david
20120930 15:38 MESSAGE_SENT  from gibbs to mcgee
20120930 15:38 MESSAGE_SENT  from david to mcgee
20120930 15:38 MESSAGE_SENT  from dinozzo to david
20120930 15:38 MESSAGE_SENT  from mcgee to palmer
20120930 15:38 MESSAGE_SENT  from vance to mcgee
20120930 15:38 MESSAGE_SENT  from mcgee to vance
20120930 15:38 MESSAGE_SENT  from sciuto to vance
20120930 15:38 MESSAGE_SENT  from david to dinozzo
20120930 15:38 MESSAGE_SENT  from sciuto to gibbs
20120930 15:38 MESSAGE_SENT  from vance to sciuto
20120930 15:38 MESSAGE_SENT  from sciuto to palmer
20120930 15:38 MESSAGE_SENT  from mcgee to gibbs
20120930 15:38 MESSAGE_SENT  from palmer to palmer
20120930 15:39 MESSAGE_SENT  from gibbs to sciuto
20120930 15:39 MESSAGE_SENT  from gibbs to gibbs
20120930 15:39 MESSAGE_SENT  from david to gibbs
20120930 15:40 MESSAGE_SENT  from mcgee to gibbs
20120930 15:40 MESSAGE_SENT  from palmer to dinozzo
20120930 15:40 MESSAGE_SENT  from gibbs to palmer
20120930 15:40 MESSAGE_SENT  from dinozzo to dinozzo
20120930 15:41 MESSAGE_SENT  from dinozzo to vance
20120930 15:41 MESSAGE_SENT  from vance to palmer
20120930 15:41 MESSAGE_SENT  from vance to mcgee
20120930 15:41 MESSAGE_SENT  from david to mcgee
20120930 15:41 MESSAGE_SENT  from palmer to sciuto
20120930 15:41 MESSAGE_SENT  from gibbs to david
20120930 15:41 MESSAGE_SENT  from david to dinozzo
20120930 15:42 MESSAGE_SENT  from gibbs to david
20120930 15:43 MESSAGE_SENT  from gibbs to sciuto
20120930 15:43 MESSAGE_SENT  from mcgee to gibbs
20120930 15:43 MESSAGE_SENT  from gibbs to gibbs
20120930 15:43 MESSAGE_SENT  from dinozzo to gibbs
20120930 15:43 MESSAGE_SENT  from dinozzo to mcgee
20120930 15:43 MESSAGE_SENT  from dinozzo to vance
20120930 15:43 MESSAGE_SENT  from dinozzo to dinozzo
20120930 15:43 MESSAGE_SENT  from gibbs to mcgee
20120930 15:43 MESSAGE_SENT  from dinozzo to sciuto
20120930 15:43 MESSAGE_SENT  from vance to vance
20120930 15:44 MESSAGE_SENT  from mcgee to dinozzo
20120930 15:44 MESSAGE_SENT  from david to mcgee
20120930 15:44 MESSAGE_SENT  from gibbs to dinozzo
20120930 15:44 MESSAGE_SENT  from mcgee to palmer
20120930 15:44 MESSAGE_SENT  from sciuto to david
20120930 15:44 MESSAGE_SENT  from gibbs to mcgee
20120930 15:44 MESSAGE_SENT  from mcgee to sciuto
20120930 15:45 MESSAGE_SENT  from mcgee to mcgee
20120930 15:45 MESSAGE_SENT  from mcgee to mcgee
20120930 15:45 MESSAGE_SENT  from gibbs to david
20120930 15:45 MESSAGE_SENT  from mcgee to palmer
20120930 15:45 MESSAGE_SENT  from gibbs to dinozzo
20120930 15:45 MESSAGE_SENT  from palmer to david
20120930 15:45 MESSAGE_SENT  from gibbs to dinozzo
20120930 15:45 MESSAGE_SENT  from dinozzo to gibbs
20120930 15:46 MESSAGE_SENT  from dinozzo to vance
20120930 15:46 MESSAGE_SENT  from sciuto to david
20120930 15:46 MESSAGE_SENT  from palmer to vance
20120930 15:46 MESSAGE_SENT  from david to mcgee
20120930 15:46 MESSAGE_SENT  from dinozzo to sciuto
20120930 15:46 MESSAGE_SENT  from palmer to gibbs
20120930 15:46 MESSAGE_SENT  from mcgee to dinozzo
20120930 15:46 MESSAGE_SENT  from palmer to dinozzo
20120930 15:46 MESSAGE_SENT  from palmer to vance
20120930 15:46 MESSAGE_SENT  from mcgee to sciuto
20120930 15:46 MESSAGE_SENT  from dinozzo to palmer
20120930 15:46 MESSAGE_SENT  from gibbs to gibbs
20120930 15:46 MESSAGE_SENT  from palmer to dinozzo
20120930 15:46 MESSAGE_SENT  from sciuto to palmer
20120930 15:46 MESSAGE_SENT  from palmer to palmer
20120930 15:47 MESSAGE_SENT  from david to mcgee
20120930 15:47 MESSAGE_SENT  from gibbs to gibbs
20120930 15:47 MESSAGE_SENT  from vance to gibbs
20120930 15:47 MESSAGE_SENT  from mcgee to vance
20120930 15:47 MESSAGE_SENT  from dinozzo to david
20120930 15:47 MESSAGE_SENT  from david to david
20120930 15:48 MESSAGE_SENT  from vance to gibbs
20120930 15:49 MESSAGE_SENT  from sciuto to gibbs
20120930 15:50 MESSAGE_SENT  from vance to palmer
20120930 15:50 MESSAGE_SENT  from gibbs to gibbs
20120930 15:51 MESSAGE_SENT  from vance to mcgee
20120930 15:51 MESSAGE_SENT  from david to sciuto
20120930 15:51 MESSAGE_SENT  from mcgee to vance
20120930 15:51 MESSAGE_SENT  from palmer to sciuto
20120930 15:51 MESSAGE_SENT  from dinozzo to vance
20120930 15:51 MESSAGE_SENT  from sciuto to mcgee
20120930 15:51 MESSAGE_SENT  from david to palmer
20120930 15:51 MESSAGE_SENT  from vance to mcgee
20120930 15:51 MESSAGE_SENT  from mcgee to david
20120930 15:51 MESSAGE_SENT  from dinozzo to mcgee
20120930 15:51 MESSAGE_SENT  from gibbs to palmer
20120930 15:51 MESSAGE_SENT  from palmer to palmer
20120930 15:52 MESSAGE_SENT  from vance to gibbs
20120930 15:52 MESSAGE_SENT  from palmer to dinozzo
20120930 15:53 MESSAGE_SENT  from dinozzo to vance
20120930 15:53 MESSAGE_SENT  from sciuto to vance
20120930 15:53 MESSAGE_SENT  from dinozzo to gibbs
20120930 15:53 MESSAGE_SENT  from gibbs to vance
20120930 15:53 MESSAGE_SENT  from sciuto to sciuto
20120930 15:53 MESSAGE_SENT  from dinozzo to mcgee
20120930 15:53 MESSAGE_SENT  from david to gibbs
20120930 15:54 MESSAGE_SENT  from david to vance
20120930 15:55 MESSAGE_SENT  from gibbs to vance
20120930 15:55 MESSAGE_SENT  from vance to david
20120930 15:55 MESSAGE_SENT  from sciuto to sciuto
20120930 15:56 MESSAGE_SENT  from david to david
20120930 15:56 MESSAGE_SENT  from mcgee to mcgee
20120930 15:56 MESSAGE_SENT  from sciuto to mcgee
20120930 15:56 MESSAGE_SENT  from palmer to palmer
20120930 15:56 MESSAGE_SENT  from dinozzo to gibbs
20120930 15:56 MESSAGE_SENT  from gibbs to david
20120930 15:57 LOGOUT        bye-bye gibbs
20120930 15:57 LOGOUT        bye-bye palmer
20120930 15:57 LOGOUT        bye-bye sciuto
20120930 15:57 LOGOUT        bye-bye vance
20120930 15:57 LOGOUT        bye-bye dinozzo
20120930 15:57 LOGOUT        bye-bye david
20120930 15:57 LOGOUT        bye-bye mcgee
